Underliggande tillgång;Ticker;Indexnamn;MS_Asset
AAC Clyde Space;AAC.ST;AAC Clyde Space;AAC_SS_Equity
AAK;AAK.ST;AAK;AAK_SS_Equity
ABB Ltd (SS);ABB.ST;ABB;ABB_SS_Equity
AFRY;AFRY.ST;AFRY;AFRY_SS_Equity
AP Moller - Maersk B;MAERSK-B.CO;AP Moller - Maersk B;MAERSKB_DC_Equity
AQ Group;AQ.ST;AQ Group;AQ_SS_Equity
ARM Holdings;ARM;ARM Holdings;ARM_US_Equity
ASML Holding (US Line);ASML;ASML Holding;ASML_US_Equity
AST SpaceMobile;ASTS;AST SpaceMobile;ASTS_US_Equity
AT&T;T;AT&T;T_US_Equity
ATTENDO;ATT.ST;ATTENDO;ATT_SS_Equity
AUD/USD;AUDUSD=X;AUD/USD;AUD_Curncy
AbCellera Biologics;ABCL;AbCellera Biologics;ABCL_US_Equity
AbbVie;ABBV;AbbVie;ABBV_US_Equity
Absolent Air Care Group;ABSO.ST;Absolent Air Care Group;ABSO_SS_Equity
Acast;ACAST.ST;Acast;ACAST_SS_Equity
AddLife;ALIF-B.ST;AddLife;ALIFB_SS_Equity
Addnode Group;ANOD-B.ST;Addnode Group;ANODB_SS_Equity
Addtech;ADDT-B.ST;Addtech;ADDTB_SS_Equity
Admicom;ADMCM.HE;Admicom;ADMCM_FH_Equity
Adobe;ADBE;Adobe;ADBE_US_Equity
Advanced Micro Devices;AMD;Advanced Micro Devices;AMD_US_Equity
Affirm;AFRM;Affirm;AFRM_US_Equity
Agnico Eagle Mines;AEM;Agnico Eagle Mines;AEM_US_Equity
Air Products and Chemicals;APD;Air Products and Chemicals;APD_US_Equity
Airbnb;ABNB;Airbnb;ABNB_US_Equity
Airbus (Paris Listing);AIR.PA;Airbus (Paris Listing);AIR_FP_Equity
Aker ASA;AKER.OL;Aker ASA;AKER_NO_Equity
Alarm.com;ALRM;Alarm.com;ALRM_US_Equity
Alcoa;AA;Alcoa;AA_US_Equity
Alfa Laval;ALFA.ST;Alfa Laval;ALFA_SS_Equity
Alibaba;BABA;Alibaba;BABA_US_Equity
Alimak Group;ALIG.ST;Alimak Group;ALIG_SS_Equity
Alleima;ALLEI.ST;Alleima;ALLEI_SS_Equity
Alligo;ALLIGO-B.ST;Alligo;ALLIGOB_SS_Equity
Alnylam Pharmaceuticals;ALNY;Alnylam Pharmaceuticals;ALNY_US_Equity
Alphabet C;GOOG;Alphabet C;GOOG_US_Equity
Amazon;AMZN;Amazon;AMZN_US_Equity
Ambea;AMBEA.ST;Ambea;AMBEA_SS_Equity
American Airlines;AAL;American Airlines;AAL_US_Equity
American Express;AXP;American Express;AXP_US_Equity
American Superconductor;AMSC;American Superconductor;AMSC_US_Equity
Amgen;AMGN;Amgen;AMGN_US_Equity
Amphenol;APH;Amphenol;APH_US_Equity
Apollo Global Management;APO;Apollo Global Management;APO_US_Equity
Apotea Sverige;APOTEA.ST;Apotea Sverige;APOTEA_SS_Equity
Apple;AAPL;Apple;AAPL_US_Equity
Applied Materials;AMAT;Applied Materials;AMAT_US_Equity
Archer-Daniels-Midland;ADM;Archer-Daniels-Midland;ADM_US_Equity
Arjo;ARJO-B.ST;Arjo;ARJOB_SS_Equity
Asmodee Group AB;ASMDEE-B.ST;Asmodee Group AB;ASMDEEB_SS_Equity
Assa Abloy B;ASSA-B.ST;Assa Abloy;ASSAB_SS_Equity
AstraZeneca (SS);AZN.ST;AstraZeneca (SS);AZN_SS_Equity
Atlas Copco A;ATCO-A.ST;Atlas Copco A;ATCOA_SS_Equity
Atrium Ljungberg;ATRLJ-B.ST;Atrium Ljungberg;ATRLJB_SS_Equity
Autoliv SDB;ALIV-SDB.ST;Autoliv SDB;ALIVSDB_SS_Equity
Axfood;AXFO.ST;Axfood;AXFO_SS_Equity
Axon Enterprise;AXON;Axon Enterprise;AXON_US_Equity
Axsome Therapeutics;AXSM;Axsome Therapeutics;AXSM_US_Equity
B2Gold;BTG;B2Gold;BTG_US_Equity
BAE Systems;BA.L;BAE Systems;BA_LN_Equity
BCE;BCE;BCE;BCE_US_Equity
BHG Group;BHG.ST;BHG Group;BHG_SS_Equity
BICO Group;BICO.ST;BICO Group;BICO_SS_Equity
Bahnhof B;BAHN-B.ST;Bahnhof B;BAHNB_SS_Equity
Baidu;BIDU;Baidu;BIDU_US_Equity
Balder;BALD-B.ST;Balder;BALDB_SS_Equity
Baldwin Insurance Group;BWIN;Baldwin Insurance Group;BWIN_US_Equity
Bank of America;BAC;Bank of America;BAC_US_Equity
Bavarian Nordic;BAVA.CO;Bavarian Nordic;BAVA_DC_Equity
Bayer;BAYN.DE;Bayer;BAYN_GY_Equity
Beijer Alma;BEIA-B.ST;Beijer Alma;BEIAB_SS_Equity
Beijer Ref;BEIJ-B.ST;Beijer Ref;BEIJB_SS_Equity
Bergman & Beving;BERG-B.ST;Bergman & Beving;BERGB_SS_Equity
Berkshire Hathaway B;BRK-B;Berkshire Hathaway B;BRKB_US_Equity
Betsson B;BETS-B.ST;Betsson;BETSB_SS_Equity
Better Collective;BETCO.ST;Better Collective;BETCO_SS_Equity
Bilia;BILI-A.ST;Bilia;BILIA_SS_Equity
Billerud;BILL.ST;Billerud;BILL_SS_Equity
BioArctic;BIOA-B.ST;BioArctic;BIOAB_SS_Equity
BioGaia;BIOG-B.ST;BioGaia;BIOGB_SS_Equity
BioInvent International;BINV.ST;BioInvent International;BINV_SS_Equity
BioNTech;BNTX;BioNTech;BNTX_US_Equity
Biogen;BIIB;Biogen;BIIB_US_Equity
Bitcoin Dec25;BTC-USD;Bitcoin Dec25;BTCF6_Curncy
BlackBerry;BB;BlackBerry;BB_US_Equity
BlackRock;BLK;BlackRock;BLK_US_Equity
Blackstone;BX;Blackstone;BX_US_Equity
Block;XYZ;Block;XYZ_US_Equity
Boeing;BA;Boeing;BA_US_Equity
Boliden;BOL.ST;Boliden;BOL_SS_Equity
Bonava B;BONAV-B.ST;Bonava B;BONAVB_SS_Equity
BoneSupport Holding;BONEX.ST;BoneSupport Holding;BONEX_SS_Equity
Booking Holdings;BKNG;Booking Holdings;BKNG_US_Equity
Boozt;BOOZT.ST;Boozt;BOOZT_SS_Equity
Boston Beer;SAM;Boston Beer;SAM_US_Equity
Bravida Holding;BRAV.ST;Bravida Holding;BRAV_SS_Equity
Brent Crude Oil Mar26;BZ=F;Brent Crude Oil Mar26;COJ6_Comdty
British American Tobacco;BTI;British American Tobacco;BTI_US_Equity
Broadcom;AVGO;Broadcom;AVGO_US_Equity
Bufab;BUFAB.ST;Bufab;BUFAB_SS_Equity
